date,"Revenue, excluding grants (% of GDP)",GDP (constant 2015 US$),"Employment to population ratio (15+, total %)"
2017-01-01,14.5205312646041,55224351374.4489,65.306
2017-02-01,14.566261100174268,55538729926.7718,65.28018042867227
2017-03-01,14.611990935744558,55835561705.64511,65.24221810616488
2017-04-01,14.657720771314725,56118526243.35832,65.19379601626798
2017-05-01,14.703450606884893,56391303072.203354,65.1365971427714
2017-06-01,14.749180442455183,56657571724.472046,65.07230446946485
2017-07-01,14.79491027802535,56921011732.454025,65.00260098013864
2017-08-01,14.840640113595517,57185302628.44113,64.92916965858252
2017-09-01,14.886369949165807,57454123944.72521,64.8536934885862
2017-10-01,14.932099784735975,57731155213.595894,64.77785545393999
2017-11-01,14.977829620306142,58020075967.345,64.70333853843364
2017-12-01,15.023559455876432,58324565738.26449,64.63182572585687
2018-01-01,15.0692892914466,58648304058.6438,64.565
2018-02-01,15.038082312779029,58993287071.360565,64.50400366748063
2018-03-01,15.006875334111372,59354777361.63555,64.44781632622808
2018-04-01,14.9756683554438,59726354125.27228,64.394876897
2018-05-01,14.944461376776228,60101596558.07716,64.34362430055351
2018-06-01,14.913254398108572,60474083855.85674,64.29249745764587
2018-07-01,14.882047419441001,60837395214.414444,64.23993528903466
2018-08-01,14.850840440773428,61185109829.55677,64.18437671547709
2018-09-01,14.819633462105772,61510806897.090096,64.1242606577303
2018-10-01,14.7884264834382,61808065612.81809,64.05802603655198
2018-11-01,14.757219504770628,62070465172.54718,63.98411177269933
2018-12-01,14.726012526102972,62291584772.08339,63.9009567869294
2019-01-01,14.6948055474354,62465003607.231,63.807
2019-02-01,14.616447365050272,62586788049.728096,63.70131531807216
2019-03-01,14.53808918266493,62662953175.04,63.58551658892238
2019-04-01,14.4597310002798,62702001234.56342,63.46185264573204
2019-05-01,14.381372817894672,62712434479.69572,63.33257232168156
2019-06-01,14.303014635509328,62702755161.83398,63.199924449951304
2019-07-01,14.2246564531242,62681465532.37537,63.06615786372275
2019-08-01,14.146298270739072,62657067842.71699,62.933521396176246
2019-09-01,14.067940088353728,62638064344.25592,62.80426388049221
2019-10-01,13.989581905968599,62632957288.38937,62.680634149852075
2019-11-01,13.91122372358347,62650248926.5144,62.564881037436216
2019-12-01,13.832865541198128,62698441510.02828,62.459253376425075
2020-01-01,13.754507358813,62786037290.3279,62.366
2020-02-01,13.852162839309276,62919205124.06951,62.28672232874975
2020-03-01,13.949818319805821,63094780288.94613,62.22043213289664
2020-04-01,14.0474738003021,63307264667.90834,62.165493770071855
2020-05-01,14.145129280798377,63551160143.90813,62.120271597906005
2020-06-01,14.24278476129492,63820968599.89783,62.083129974029845
2020-07-01,14.3404402417912,64111191918.827484,62.05243325607439
2020-08-01,14.438095722287478,64416331983.6494,62.02654580167034
2020-09-01,14.535751202784022,64730890677.315956,62.00383196844847
2020-10-01,14.633406683280299,65049369882.777016,61.98265611403973
2020-11-01,14.731062163776578,65366271482.98497,61.96138259607486
2020-12-01,14.828717644273123,65676097360.89221,61.93837577218464
2021-01-01,14.9263731247694,65973349399.4486,61.912
2021-02-01,14.97838792164697,66253648454.56619,61.881048839151454
2021-03-01,15.03040271852468,66517091273.995476,61.84603265726847
2021-04-01,15.08241751540225,66764893578.444466,61.80789102398055
2021-05-01,15.13443231227982,66998271088.62333,61.767563508916936
2021-06-01,15.18644710915753,67218439525.24211,61.7259896817068
2021-07-01,15.2384619060351,67426614609.009026,61.68410911197971
2021-08-01,15.29047670291267,67624012060.63415,61.64286136936486
2021-09-01,15.34249149979038,67811847600.827415,61.603186023491446
2021-10-01,15.39450629666795,67991336950.29725,61.56602264398901
2021-11-01,15.44652109354552,68163695829.75362,61.53231080048676
2021-12-01,15.49853589042323,68330139959.90638,61.50299006261393
2022-01-01,15.5505506873008,68491885061.4641,61.479
2022-02-01,15.60256548417837,68650146855.13668,61.46100476834833
2022-03-01,15.65458028105608,68806141061.63396,61.4485668676589
2022-04-01,15.70659507793365,68961083401.66455,61.440973384005915
2022-05-01,15.75860987481122,69116189595.93832,61.43751140346347
2022-06-01,15.810624671688931,69272675365.16513,61.4374680121057
2022-07-01,15.8626394685665,69431756430.05359,61.44013029600677
2022-08-01,15.91465426544407,69594648511.3135,61.444785341240774
2022-09-01,15.966669062321781,69762567329.65486,61.45072023388189
2022-10-01,16.01868385919935,69936728605.78615,61.45722206000423
2022-11-01,16.07069865607692,70118348060.41722,61.46357790568192
2022-12-01,16.12271345295463,70308641414.2581,61.46907485698915
2023-01-01,16.1747282498322,70508824388.0172,61.473
2023-02-01,16.22674304670977,70720112702.40442,61.47464042078863
2023-03-01,16.27875784358748,70943722078.12985,61.47328320542917
2023-04-01,16.33077264046505,71180868235.90173,61.468215439995774
2023-05-01,16.38278743734262,71432766896.43005,61.45872421056257
2023-06-01,16.43480223422033,71700633780.42505,61.44409660320365
2023-07-01,16.4868170310979,71985684608.59468,61.42361970399324
2023-08-01,16.53883182797547,72289135101.64912,61.39658059900544
2023-09-01,16.59084662485318,72612200980.29868,61.362266374314274
2023-10-01,16.64286142173075,72956097965.25107,61.31996411599408
2023-11-01,16.69487621860832,73322041777.21655,61.26896091011891
2023-12-01,16.74689101548603,73711248136.9057,61.20854384276274
2024-01-01,16.7989058123636,74124932765.0258,61.138
2024-02-01,16.85092060924117,74564311382.28735,61.05661646790471
2024-03-01,16.902935406118882,75030599709.4011,60.963680332550716
2024-04-01,16.95495020299645,75525013467.0739,60.85847868001268
2024-05-01,17.00696499987402,76048768376.01646,60.7402985963645
2024-06-01,17.058979796751732,76603080156.93977,60.60842716767991
2024-07-01,17.1109945936293,77189164530.55028,60.46215148003381
2024-08-01,17.163009390506872,77808237217.55885,60.300758619499966
2024-09-01,17.215024187384582,78461513938.67679,60.12353567215203
2024-10-01,17.26703898426215,79150210414.60994,59.92976972406508
2024-11-01,17.319053781139722,79875542366.06952,59.71874786131282
2024-12-01,17.371068578017432,80638725513.76706,59.48975716996873
